docity,강원강릉시,강원고성군,강원동해시,강원삼척시,강원속초시,강원양구군,강원양양군,강원영월군,강원원주시,강원인제군,강원정선군,강원철원군,강원춘천시,강원태백시,강원평창군,강원홍천군,강원화천군,강원횡성군,경기가평군,인천강화군,경기고양시,경기과천시,경기광명시,경기광주시,경기구리시,경기군포시,경기김포시,경기남양주시,경기동두천시,경기부천시,경기성남시,경기수원시,경기시흥시,경기안산시,경기안성시,경기안양시,경기양주시,경기양평군,경기연천군,경기오산시,인천옹진군,경기용인시,경기의왕시,경기의정부시,경기이천시,경기파주시,경기평택시,경기포천시,경기하남시,경기화성시,경상거제시,경상거창군,경상경산시,경상경주시,경상고령군,경상고성군,경상구미시,경상군위군,경상김천시,경상김해시,경상남해군,경상문경시,경상밀양시,경상봉화군,경상사천시,경상산청군,경상상주시,경상성주군,경상안동시,경상양산시,경상영덕군,경상영양군,경상영주시,경상영천시,경상예천군,경상울릉군,경상울진군,경상의령군,경상의성군,경상진주시,경상창녕군,경상창원시,경상청도군,경상청송군,경상칠곡군,경상통영시,경상포항시,경상하동군,경상함안군,경상함양군,경상합천군,광주광산구,광주남구,광주동구,광주북구,광주서구,대구달서구,대구수성구,대구달성군,대구북구,대구서구,대구중구,대전대덕구,대전동구,대전서구,대전유성구,대전중구,부산강서구,부산금정구,부산기장군,부산남구,부산동구,부산동래구,부산부산진구,부산북구,부산사상구,부산사하구,부산서구,부산수영구,부산연제구,부산영도구,부산중구,부산해운대구,서울강남구,서울강동구,서울강북구,서울강서구,서울관악구,서울광진구,서울구로구,서울금천구,서울노원구,서울도봉구,서울동대문구,서울동작구,서울마포구,서울서대문구,서울서초구,서울성동구,서울성북구,서울송파구,서울양천구,서울영등포구,서울용산구,서울은평구,서울종로구,서울중구,서울중랑구,울산남구,울산동구,울산북구,울산울주군,울산중구,인천계양구,인천남동구,인천동구,인천부평구,인천서구,인천연수구,인천중구,전라강진군,전라고창군,전라고흥군,전라곡성군,전라광양시,전라구례군,전라군산시,전라김제시,전라나주시,전라남원시,전라담양군,전라목포시,전라무안군,전라무주군,전라보성군,전라부안군,전라순창군,전라순천시,전라신안군,전라여수시,전라영광군,전라영암군,전라완도군,전라완주군,전라익산시,전라임실군,전라장성군,전라장수군,전라장흥군,전라전주시,전라정읍시,전라진도군,전라진안군,전라함평군,전라해남군,전라화순군,제주서귀포시,제주제주시,충청계룡시,충청공주시,충청괴산군,충청금산군,충청논산시,충청단양군,충청보령시,충청보은군,충청부여군,충청서산시,충청서천군,충청아산시,충청영동군,충청예산군,충청옥천군,충청음성군,충청제천시,충청증평군,충청진천군,충청천안시,충청청양군,충청청주시,충청충주시,충청태안군,충청홍성군
충청예산군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011924111446692197,,,,,,,,0.001140042462335743,,0.0023409309863945253,,0.99,,,,,,0.0014074326891329466,0.0016876586295765368,,,,0.0022315240878910433
충청옥천군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001218418094499286,0.0017139289387064203,0.0010146020272528214,0.0008884697267807104,0.001320819301469126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005342568471607907,,,,,,,,,,,,,,,,,,,,,,,,,0.00062848752770955,,,0.0006001828735738517,,,,0.0007390880325475278,,,,,0.0007635488328591842,,0.99,,,,,,,0.0005781977974407407,,,
충청음성군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00119041629525381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002717966105646244,,,,,,,,,,,,,0.99,,0.0022388884365264813,0.00180612514221181,,,,0.0020466040203616608,,
충청제천시,,,,,,,,0.0022341027163061255,0.0016484329513436723,,,,,,0.0017323006749279941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002437742634615219,,,,,,,,,,,0.99,,,,,,0.001947421022807009,,
충청증평군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000851573578413535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016711236401324681,,,,,0.0008774756936943749,,,,,,,,0.0015695365242018471,,0.99,0.002053586045852426,0.0008089546782408004,,0.0013554186017250296,0.0008123312377395196,,
충청진천군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014651124777276725,,,,,,,,,,,,0.00098755584879521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010165299746100183,,,,,,,,,0.0008182174679985298,,,,0.0013067698138152653,,0.0021194598159557337,0.99,0.0012369160839157507,,0.0010494385171818284,,,
충청천안시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011835072530308834,,,,,0.0007696442467706312,,,,,,,0.0014251792988515843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007404741462842002,,,,,,,,,,0.002237592208166158,,0.000984623876288415,,,,0.0007740755163298838,0.0011467984431834854,0.99,,0.0007381050110947654,,,
충청청양군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013375035070890778,,,0.0009424875045383871,,0.0017275525938505538,,0.0016823465435928777,,,0.0009278623490970723,,0.001505931716659374,,,,,,,0.99,,,,0.0018763157851726664
충청청주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009073558832401901,0.0008027584297484024,0.0008880792790497424,0.00087489769386779,0.0008254389695458829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006437475182770939,0.0006947303533207927,,,,,0.0010972009226435334,,,,,,,0.0007772348372574453,,,0.0010729836891763122,0.0008049416435872309,0.0006106307802855938,,0.99,,,
충청충주시,,,,,,,,,0.0012683537549926806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002139081394725278,,,0.001267094240399184,,,,,,,,,,0.002283585002772078,0.0017489480822602387,0.0012929375248505511,,,,,0.99,,
충청태안군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007171600550750493,,,,,,,,,,,,,,0.99,0.002828399449249533
충청홍성군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014715849125342426,,,0.0015949266002058223,,0.0011965990857953062,,0.002322760992004652,,,,,,,0.0021887098952333563,,,0.0012254185142266318,0.99
